"current_ap","current_hp","block","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr","participant"
"unn2/abstract02d_ap3.jpg","unn2/abstract02d_hp3.jpg",6,"right","unn","RT","left",0,545
"Nam2/inanimate08_ap3.jpg","Nam2/inanimate08a_hp3.jpg",6,"left","nam","N","left",1,545
"unn2/abstract02e_ap3.jpg","unn2/abstract02e_hp3.jpg",6,"right","unn","RT","left",0,545
"unn2/abstract02a_ap3.jpg","unn2/abstract02a_hp3.jpg",6,"right","unn","N","left",0,545
"unn2/abstract02c_ap3.jpg","unn2/abstract02b_hp3.jpg",6,"left","unn","RS","right",0,545
"unn2/abstract02b_ap3.jpg","unn2/abstract02c_hp3.jpg",6,"left","unn","RS","left",1,545
"Nam2/inanimate08b_ap3.jpg","Nam2/inanimate08b_hp3.jpg",6,"right","nam","RS","right",1,545
"Nam2/inanimate08d_ap3.jpg","Nam2/inanimate08e_hp3.jpg",6,"left","nam","RT","left",1,545
"Nam2/inanimate08e_ap3.jpg","Nam2/inanimate08d_hp3.jpg",6,"left","nam","RT","left",1,545
"unn2/abstract02_ap3.jpg","unn2/abstract02_hp3.jpg",6,"right","unn","N","right",1,545
"Nam2/inanimate08a_ap3.jpg","Nam2/inanimate08_hp3.jpg",6,"left","nam","N","left",1,545
"unn2/abstract05d_ap3.jpg","unn2/abstract05e_hp3.jpg",7,"left","unn","RT","left",1,545
"Nam2/inanimate10_ap3.jpg","Nam2/inanimate10_hp3.jpg",7,"right","nam","N","left",0,545
"unn2/abstract05e_ap3.jpg","unn2/abstract05d_hp3.jpg",7,"left","unn","RT","left",1,545
"unn2/abstract05a_ap3.jpg","unn2/abstract05_hp3.jpg",7,"left","unn","N","left",1,545
"unn2/abstract05c_ap3.jpg","unn2/abstract05c_hp3.jpg",7,"right","unn","RS","right",1,545
"unn2/abstract05b_ap3.jpg","unn2/abstract05b_hp3.jpg",7,"right","unn","RS","right",1,545
"Nam2/inanimate10b_ap3.jpg","Nam2/inanimate10c_hp3.jpg",7,"left","nam","RS","left",1,545
"Nam2/inanimate10d_ap3.jpg","Nam2/inanimate10d_hp3.jpg",7,"right","nam","RT","right",1,545
"Nam2/inanimate10e_ap3.jpg","Nam2/inanimate10e_hp3.jpg",7,"right","nam","RT","right",1,545
"unn2/abstract05_ap3.jpg","unn2/abstract05a_hp3.jpg",7,"left","unn","N","left",1,545
"Nam2/inanimate10a_ap3.jpg","Nam2/inanimate10a_hp3.jpg",7,"right","nam","N","right",1,545
"Nam2/inanimate10c_ap3.jpg","Nam2/inanimate10c_hp3.jpg",7,"right","nam","RS","right",1,545
"unn2/abstract05d_ap3.jpg","unn2/abstract05d_hp3.jpg",7,"right","unn","RT","right",1,545
"Nam2/inanimate10_ap3.jpg","Nam2/inanimate10a_hp3.jpg",7,"left","nam","N","left",1,545
"unn2/abstract05e_ap3.jpg","unn2/abstract05e_hp3.jpg",7,"right","unn","RT","right",1,545
"unn2/abstract05a_ap3.jpg","unn2/abstract05a_hp3.jpg",7,"right","unn","N","left",0,545
"unn2/abstract05c_ap3.jpg","unn2/abstract05b_hp3.jpg",7,"left","unn","RS","left",1,545
"unn2/abstract05b_ap3.jpg","unn2/abstract05c_hp3.jpg",7,"left","unn","RS","left",1,545
"Nam2/inanimate10b_ap3.jpg","Nam2/inanimate10b_hp3.jpg",7,"right","nam","RS","right",1,545
"Nam2/inanimate10d_ap3.jpg","Nam2/inanimate10e_hp3.jpg",7,"left","nam","RT","left",1,545
"Nam2/inanimate10e_ap3.jpg","Nam2/inanimate10d_hp3.jpg",7,"left","nam","RT","left",1,545
"unn2/abstract05_ap3.jpg","unn2/abstract05_hp3.jpg",7,"right","unn","N","right",1,545
"Nam2/inanimate10a_ap3.jpg","Nam2/inanimate10_hp3.jpg",7,"left","nam","N","left",1,545
"unn2/abstract01d_ap3.jpg","unn2/abstract01e_hp3.jpg",8,"left","unn","RT","left",1,545
"Nam2/inanimate02_ap3.jpg","Nam2/inanimate02_hp3.jpg",8,"right","nam","N","right",1,545
"unn2/abstract01e_ap3.jpg","unn2/abstract01d_hp3.jpg",8,"left","unn","RT","left",1,545
"unn2/abstract01a_ap3.jpg","unn2/abstract01_hp3.jpg",8,"left","unn","N","left",1,545
"unn2/abstract01c_ap3.jpg","unn2/abstract01c_hp3.jpg",8,"right","unn","RS","right",1,545
"unn2/abstract01b_ap3.jpg","unn2/abstract01b_hp3.jpg",8,"right","unn","RS","right",1,545
"Nam2/inanimate02b_ap3.jpg","Nam2/inanimate02c_hp3.jpg",8,"left","nam","RS","left",1,545
"Nam2/inanimate02d_ap3.jpg","Nam2/inanimate02d_hp3.jpg",8,"right","nam","RT","right",1,545
"Nam2/inanimate02e_ap3.jpg","Nam2/inanimate02e_hp3.jpg",8,"right","nam","RT","left",0,545
"unn2/abstract01_ap3.jpg","unn2/abstract01a_hp3.jpg",8,"left","unn","N","left",1,545
"Nam2/inanimate02a_ap3.jpg","Nam2/inanimate02a_hp3.jpg",8,"right","nam","N","right",1,545
"Nam2/inanimate02c_ap3.jpg","Nam2/inanimate02c_hp3.jpg",8,"right","nam","RS","right",1,545
"unn2/abstract01d_ap3.jpg","unn2/abstract01d_hp3.jpg",8,"right","unn","RT","None",0,545
"Nam2/inanimate02_ap3.jpg","Nam2/inanimate02a_hp3.jpg",8,"left","nam","N","right",0,545
"unn2/abstract01e_ap3.jpg","unn2/abstract01e_hp3.jpg",8,"right","unn","RT","right",1,545
"unn2/abstract01a_ap3.jpg","unn2/abstract01a_hp3.jpg",8,"right","unn","N","right",1,545
"unn2/abstract01c_ap3.jpg","unn2/abstract01b_hp3.jpg",8,"left","unn","RS","left",1,545
"unn2/abstract01b_ap3.jpg","unn2/abstract01c_hp3.jpg",8,"left","unn","RS","left",1,545
"Nam2/inanimate02b_ap3.jpg","Nam2/inanimate02b_hp3.jpg",8,"right","nam","RS","right",1,545
"Nam2/inanimate02d_ap3.jpg","Nam2/inanimate02e_hp3.jpg",8,"left","nam","RT","left",1,545
"Nam2/inanimate02e_ap3.jpg","Nam2/inanimate02d_hp3.jpg",8,"left","nam","RT","left",1,545
"unn2/abstract01_ap3.jpg","unn2/abstract01_hp3.jpg",8,"right","unn","N","left",0,545
"Nam2/inanimate02a_ap3.jpg","Nam2/inanimate02_hp3.jpg",8,"left","nam","N","right",0,545
