"participant","version","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
865,"A",4,4,18,"Nam2/inanimate08c_ap.jpg","Nam2/inanimate08b_hp.jpg","left","nam","N","left",1
865,"A",4,4,19,"unn2/abstract04a_ap.jpg","unn2/abstract04_hp.jpg","left","unn","RT","left",1
865,"A",4,4,20,"Nam2/inanimate04b_ap.jpg","Nam2/inanimate04b_hp.jpg","right","nam","RT","right",1
865,"A",4,4,21,"unn2/abstract07a_ap.jpg","unn2/abstract07a_hp.jpg","right","unn","N","right",1
865,"A",4,4,22,"Nam2/inanimate08b_ap.jpg","Nam2/inanimate08c_hp.jpg","left","nam","N","left",1
865,"A",4,4,23,"Nam2/inanimate02a_ap.jpg","Nam2/inanimate02_hp.jpg","left","nam","RS","left",1
865,"A",4,4,24,"Nam2/inanimate04c_ap.jpg","Nam2/inanimate04c_hp.jpg","right","nam","RT","right",1
865,"A",5,5,1,"unn2/abstract01b_ap.jpg","unn2/abstract01c_hp.jpg","left","unn","RS","left",1
865,"A",5,5,2,"unn2/abstract05_ap.jpg","unn2/abstract05_hp.jpg","right","unn","RT","right",1
865,"A",5,5,3,"unn2/abstract08_ap.jpg","unn2/abstract08a_hp.jpg","left","unn","N","right",0
865,"A",5,5,4,"Nam2/inanimate03_ap.jpg","Nam2/inanimate03_hp.jpg","right","nam","RS","right",1
865,"A",5,5,5,"unn2/abstract01c_ap.jpg","unn2/abstract01b_hp.jpg","left","unn","RS","left",1
865,"A",5,5,6,"Nam2/inanimate08e_ap.jpg","Nam2/inanimate08e_hp.jpg","right","nam","N","right",1
865,"A",5,5,7,"unn2/abstract05a_ap.jpg","unn2/abstract05a_hp.jpg","right","unn","RT","right",1
865,"A",5,5,8,"Nam2/inanimate04d_ap.jpg","Nam2/inanimate04e_hp.jpg","left","nam","RT","left",1
865,"A",5,5,9,"unn2/abstract08a_ap.jpg","unn2/abstract08_hp.jpg","left","unn","N","left",1
865,"A",5,5,10,"Nam2/inanimate08d_ap.jpg","Nam2/inanimate08d_hp.jpg","right","nam","N","right",1
865,"A",5,5,11,"Nam2/inanimate03a_ap.jpg","Nam2/inanimate03a_hp.jpg","right","nam","RS","right",1
865,"A",5,5,12,"Nam2/inanimate04e_ap.jpg","Nam2/inanimate04d_hp.jpg","left","nam","RT","left",1
865,"A",5,5,13,"unn2/abstract01b_ap.jpg","unn2/abstract01b_hp.jpg","right","unn","RS","right",1
